split,source_relative_path,segment_path,segment_seconds
train,Erhu-1/Chang_Cheng_Sui_Xiang/Chang_Cheng_Sui_Xiang.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__Chang_Cheng_Sui_Xiang__Chang_Cheng_Sui_Xiang__seg00.wav,30.0
train,Erhu-1/Henan_Xiao_Qu-part1/Henan_Xiao_Qu-part1.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__Henan_Xiao_Qu-part1__Henan_Xiao_Qu-part1__seg00.wav,30.0
train,Erhu-1/Henan_Xiao_Qu-part2/Henan_Xiao_Qu-part2.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__Henan_Xiao_Qu-part2__Henan_Xiao_Qu-part2__seg00.wav,30.0
train,Erhu-1/Qin_Qiang_Sui_Xiang-part1/Qin_Qiang_Sui_Xiang-part1.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__Qin_Qiang_Sui_Xiang-part1__Qin_Qiang_Sui_Xiang-part1__seg00.wav,30.0
train,Erhu-1/Qin_Qiang_Sui_Xiang-part1/Qin_Qiang_Sui_Xiang-part1.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__Qin_Qiang_Sui_Xiang-part1__Qin_Qiang_Sui_Xiang-part1__seg01.wav,30.0
train,Erhu-1/Qin_Qiang_Sui_Xiang-part1/Qin_Qiang_Sui_Xiang-part1.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__Qin_Qiang_Sui_Xiang-part1__Qin_Qiang_Sui_Xiang-part1__seg02.wav,30.0
train,Erhu-1/Qin_Qiang_Sui_Xiang-part1/Qin_Qiang_Sui_Xiang-part1.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__Qin_Qiang_Sui_Xiang-part1__Qin_Qiang_Sui_Xiang-part1__seg03.wav,30.0
train,Erhu-1/Qin_Qiang_Sui_Xiang-part1/Qin_Qiang_Sui_Xiang-part1.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__Qin_Qiang_Sui_Xiang-part1__Qin_Qiang_Sui_Xiang-part1__seg04.wav,20.20675
train,Erhu-1/Qin_Qiang_Sui_Xiang-part2/Qin_Qiang_Sui_Xiang-part2.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__Qin_Qiang_Sui_Xiang-part2__Qin_Qiang_Sui_Xiang-part2__seg00.wav,30.0
train,Erhu-1/Qin_Qiang_Sui_Xiang-part2/Qin_Qiang_Sui_Xiang-part2.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__Qin_Qiang_Sui_Xiang-part2__Qin_Qiang_Sui_Xiang-part2__seg01.wav,30.0
train,Erhu-1/Qin_Qiang_Sui_Xiang-part2/Qin_Qiang_Sui_Xiang-part2.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__Qin_Qiang_Sui_Xiang-part2__Qin_Qiang_Sui_Xiang-part2__seg02.wav,30.0
train,Erhu-1/Sai_Ma/Sai_Ma.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__Sai_Ma__Sai_Ma__seg00.wav,24.69134375
train,Erhu-1/The_Third_Erhu_Rhapsody-part1/The_Third_Erhu_Rhapsody-part1.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__The_Third_Erhu_Rhapsody-part1__The_Third_Erhu_Rhapsody-part1__seg00.wav,30.0
train,Erhu-1/The_Third_Erhu_Rhapsody-part1/The_Third_Erhu_Rhapsody-part1.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__The_Third_Erhu_Rhapsody-part1__The_Third_Erhu_Rhapsody-part1__seg01.wav,30.0
train,Erhu-1/The_Third_Erhu_Rhapsody-part1/The_Third_Erhu_Rhapsody-part1.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__The_Third_Erhu_Rhapsody-part1__The_Third_Erhu_Rhapsody-part1__seg02.wav,29.75634375
train,Erhu-1/The_Third_Erhu_Rhapsody-part2/The_Third_Erhu_Rhapsody-part2.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__The_Third_Erhu_Rhapsody-part2__The_Third_Erhu_Rhapsody-part2__seg00.wav,30.0
train,Erhu-1/The_Third_Erhu_Rhapsody-part2/The_Third_Erhu_Rhapsody-part2.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__The_Third_Erhu_Rhapsody-part2__The_Third_Erhu_Rhapsody-part2__seg01.wav,30.0
train,Erhu-1/Yi_Zhi_Hua/Yi_Zhi_Hua.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__Yi_Zhi_Hua__Yi_Zhi_Hua__seg00.wav,30.0
